交易发起日期	产品名称	产品代码	业务类型	申请数额	申请单位	确认数额	确认单位	链接
2018-08-16	南方天天利货币Ｂ	003474	红利再投资	-	-	8.76	份	https://query.1234567.com.cn/Query/Detail?id=201808160130300866986490&businType=143&traceNo=
2018-08-15	富国中证红利指数增强	100032	银行卡支付买入	6400.00	元	6339.69	份	https://query.1234567.com.cn/Query/Detail?id=9da11f42572b42b380b8ebf3583029c3&businType=22&traceNo=
2018-08-15	华夏收益债券(QDII)A	001061	卖出回银行卡	5451.73	份	6820.11	元	https://query.1234567.com.cn/Query/Detail?id=474a8f8782564026b7c9f38771677e4a&businType=24&traceNo=
2018-08-15	鹏华添利宝货币	001666	红利再投资	-	-	9.19	份	https://query.1234567.com.cn/Query/Detail?id=201808150630301006058770&businType=143&traceNo=
2018-08-15	南方天天利货币Ｂ	003474	红利再投资	-	-	8.90	份	https://query.1234567.com.cn/Query/Detail?id=201808150130300864736720&businType=143&traceNo=
2018-08-15	南方天天利货币Ｂ	003474	活期宝互转	8.21	份	8.21	份	https://query.1234567.com.cn/Query/Detail?id=3a6bf23d71ef44c0b7a63931065016b2&businType=804&traceNo=
2018-08-15	南方天天利货币Ｂ	003474	活期宝互转	9.55	份	9.55	份	https://query.1234567.com.cn/Query/Detail?id=ba7466f898b043e89e39b25775cc8065&businType=804&traceNo=
2018-08-15	南方天天利货币Ｂ	003474	活期宝互转	10.02	份	10.02	份	https://query.1234567.com.cn/Query/Detail?id=5f47530578db4d3aa953d89911981897&businType=804&traceNo=
2018-08-15	博时现金宝货币Ｂ	000891	活期宝互转	10.51	份	10.51	份	https://query.1234567.com.cn/Query/Detail?id=ce5a94ed42bc47118dfda89f404a4d40&businType=804&traceNo=
2018-08-15	南方天天利货币Ｂ	003474	活期宝互转	11.54	份	11.54	份	https://query.1234567.com.cn/Query/Detail?id=7133018064454b9ca8b1ce69058f5acc&businType=804&traceNo=
2018-08-14	博时现金宝货币Ｂ	000891	份额调增	41.52	元	41.52	份	https://query.1234567.com.cn/Query/Detail?id=51b36e8295604137a9616c8ef0669fcc&businType=863&traceNo=201808140520180814000494039849
2018-08-14	华夏现金增利货币A/E	003003	红利再投资	-	-	2.13	份	https://query.1234567.com.cn/Query/Detail?id=20180814033032018081464580419&businType=143&traceNo=
2018-08-14	汇添富和聚宝货币	000600	红利再投资	-	-	2.50	份	https://query.1234567.com.cn/Query/Detail?id=201808144730300294436040&businType=143&traceNo=
2018-08-14	华安汇财通货币	000709	红利再投资	-	-	2.38	份	https://query.1234567.com.cn/Query/Detail?id=20180814041303479514722&businType=143&traceNo=
2018-08-14	招商招钱宝货币A	000588	红利再投资	-	-	2.62	份	https://query.1234567.com.cn/Query/Detail?id=201808141720180814400001459723&businType=143&traceNo=
2018-08-14	富国富钱包货币	000638	红利再投资	-	-	2.76	份	https://query.1234567.com.cn/Query/Detail?id=201808141030300451001740&businType=143&traceNo=
2018-08-13	华夏现金增利货币A/E	003003	红利再投资	-	-	6.08	份	https://query.1234567.com.cn/Query/Detail?id=20180813033032018081361807354&businType=143&traceNo=
2018-08-13	招商招钱宝货币A	000588	红利再投资	-	-	2.63	份	https://query.1234567.com.cn/Query/Detail?id=201808131720180813400001361391&businType=143&traceNo=
2018-08-13	招商招钱宝货币A	000588	红利再投资	-	-	2.63	份	https://query.1234567.com.cn/Query/Detail?id=201808131720180813400003654504&businType=143&traceNo=
2018-08-13	招商招钱宝货币A	000588	红利再投资	-	-	2.63	份	https://query.1234567.com.cn/Query/Detail?id=201808131720180813400002517203&businType=143&traceNo=
2018-08-13	汇添富和聚宝货币	000600	红利再投资	-	-	7.52	份	https://query.1234567.com.cn/Query/Detail?id=201808134730300293944650&businType=143&traceNo=
2018-08-13	富国富钱包货币	000638	红利再投资	-	-	8.78	份	https://query.1234567.com.cn/Query/Detail?id=201808131030300449447570&businType=143&traceNo=
2018-08-13	华安汇财通货币	000709	红利再投资	-	-	7.17	份	https://query.1234567.com.cn/Query/Detail?id=20180813041303478190301&businType=143&traceNo=
2018-08-13	鹏华添利宝货币	001666	活期宝互转	25076.56	份	25076.56	份	https://query.1234567.com.cn/Query/Detail?id=279cb8d351bb445da822d1dd1be23311&businType=804&traceNo=
2018-08-13	鹏华添利宝货币	001666	活期宝互转	14223.32	份	14223.32	份	https://query.1234567.com.cn/Query/Detail?id=8acb9738e6c1451683ae25eb6325cdc6&businType=804&traceNo=
2018-08-13	南方天天利货币Ｂ	003474	活期宝互转	10854.70	份	10854.70	份	https://query.1234567.com.cn/Query/Detail?id=adfbbe061dc346aeb51b256b30399b06&businType=804&traceNo=
2018-08-13	南方天天利货币Ｂ	003474	活期宝互转	25088.03	份	25088.03	份	https://query.1234567.com.cn/Query/Detail?id=e613253b87a74ddca5150b74bf21a1b4&businType=804&traceNo=
2018-08-13	南方天天利货币Ｂ	003474	活期宝互转	1708.50	份	1708.50	份	https://query.1234567.com.cn/Query/Detail?id=6c7ab62d37ad4756aa0e7b740376232e&businType=804&traceNo=
2018-08-13	鹏华添利宝货币	001666	活期宝互转	23373.09	份	23373.09	份	https://query.1234567.com.cn/Query/Detail?id=ddac7923c6144739a2e3ec4a956156c2&businType=804&traceNo=
2018-08-13	鹏华添利宝货币	001666	活期宝互转	16626.91	份	16626.91	份	https://query.1234567.com.cn/Query/Detail?id=5f06484843b5451a89d3f03c3642d573&businType=804&traceNo=
2018-08-13	南方天天利货币Ｂ	003474	活期宝互转	9868.75	份	9868.75	份	https://query.1234567.com.cn/Query/Detail?id=a5fbedcc97be443cb0c990f11bcb9095&businType=804&traceNo=
2018-08-13	南方天天利货币Ｂ	003474	活期宝互转	30131.25	份	30131.25	份	https://query.1234567.com.cn/Query/Detail?id=918d8942804e42c498cd2a212eb10ab7&businType=804&traceNo=
2018-08-10	华夏现金增利货币A/E	003003	红利再投资	-	-	2.37	份	https://query.1234567.com.cn/Query/Detail?id=20180810033032018081060746890&businType=143&traceNo=
2018-08-10	汇添富和聚宝货币	000600	红利再投资	-	-	2.49	份	https://query.1234567.com.cn/Query/Detail?id=201808104730300293423180&businType=143&traceNo=
2018-08-10	招商招钱宝货币A	000588	红利再投资	-	-	2.63	份	https://query.1234567.com.cn/Query/Detail?id=201808101720180810400001845613&businType=143&traceNo=
2018-08-10	富国富钱包货币	000638	红利再投资	-	-	2.87	份	https://query.1234567.com.cn/Query/Detail?id=201808101030300448006930&businType=143&traceNo=
2018-08-10	华安汇财通货币	000709	红利再投资	-	-	2.39	份	https://query.1234567.com.cn/Query/Detail?id=20180810041303475821427&businType=143&traceNo=
2018-08-09	汇添富和聚宝货币	000600	红利再投资	-	-	2.51	份	https://query.1234567.com.cn/Query/Detail?id=201808094730300292944380&businType=143&traceNo=
2018-08-09	华夏现金增利货币A/E	003003	红利再投资	-	-	4.08	份	https://query.1234567.com.cn/Query/Detail?id=20180809033032018080959617166&businType=143&traceNo=
2018-08-09	招商招钱宝货币A	000588	红利再投资	-	-	2.63	份	https://query.1234567.com.cn/Query/Detail?id=201808091720180809400001291494&businType=143&traceNo=
2018-08-09	富国富钱包货币	000638	红利再投资	-	-	2.89	份	https://query.1234567.com.cn/Query/Detail?id=201808091030300446575020&businType=143&traceNo=
2018-08-09	华安汇财通货币	000709	红利再投资	-	-	2.73	份	https://query.1234567.com.cn/Query/Detail?id=20180809041303474891974&businType=143&traceNo=
2018-08-08	汇添富和聚宝货币	000600	红利再投资	-	-	2.49	份	https://query.1234567.com.cn/Query/Detail?id=201808084730300292453240&businType=143&traceNo=
2018-08-08	华夏现金增利货币A/E	003003	红利再投资	-	-	2.24	份	https://query.1234567.com.cn/Query/Detail?id=20180808033032018080858562538&businType=143&traceNo=
2018-08-08	招商招钱宝货币A	000588	红利再投资	-	-	2.63	份	https://query.1234567.com.cn/Query/Detail?id=201808081720180808400001302310&businType=143&traceNo=
2018-08-08	富国富钱包货币	000638	红利再投资	-	-	2.83	份	https://query.1234567.com.cn/Query/Detail?id=201808081030300445115950&businType=143&traceNo=
2018-08-08	华安汇财通货币	000709	红利再投资	-	-	2.38	份	https://query.1234567.com.cn/Query/Detail?id=20180808041303473910437&businType=143&traceNo=
2018-08-07	汇添富和聚宝货币	000600	红利再投资	-	-	2.49	份	https://query.1234567.com.cn/Query/Detail?id=201808074730300291965060&businType=143&traceNo=
2018-08-07	华夏现金增利货币A/E	003003	红利再投资	-	-	2.38	份	https://query.1234567.com.cn/Query/Detail?id=20180807033032018080757490796&businType=143&traceNo=
2018-08-07	招商招钱宝货币A	000588	红利再投资	-	-	2.64	份	https://query.1234567.com.cn/Query/Detail?id=201808071720180807400001501810&businType=143&traceNo=
2018-08-07	富国富钱包货币	000638	红利再投资	-	-	2.36	份	https://query.1234567.com.cn/Query/Detail?id=201808071030300443662640&businType=143&traceNo=
2018-08-07	华安汇财通货币	000709	红利再投资	-	-	2.40	份	https://query.1234567.com.cn/Query/Detail?id=20180807041303472914737&businType=143&traceNo=
2018-08-06	汇添富和聚宝货币	000600	红利再投资	-	-	7.45	份	https://query.1234567.com.cn/Query/Detail?id=201808064730300291404100&businType=143&traceNo=
2018-08-06	华夏现金增利货币A/E	003003	红利再投资	-	-	6.95	份	https://query.1234567.com.cn/Query/Detail?id=20180806033032018080654601523&businType=143&traceNo=
2018-08-06	广发中债7-10年国开债指数A	003376	卖出回活期宝(有调增)	4205.50	份	4211.37	元	https://query.1234567.com.cn/Query/Detail?id=86b0dd2d7fff49778e5c50f9ad7d52e8&businType=812&traceNo=e54aca2df00e4a7283ba99af85907ab3
2018-08-06	招商招钱宝货币A	000588	红利再投资	-	-	2.64	份	https://query.1234567.com.cn/Query/Detail?id=201808061720180806400002482001&businType=143&traceNo=
2018-08-06	招商招钱宝货币A	000588	红利再投资	-	-	2.64	份	https://query.1234567.com.cn/Query/Detail?id=201808061720180806400001363751&businType=143&traceNo=
2018-08-06	招商招钱宝货币A	000588	红利再投资	-	-	2.64	份	https://query.1234567.com.cn/Query/Detail?id=201808061720180806400003571612&businType=143&traceNo=
2018-08-06	富国富钱包货币	000638	红利再投资	-	-	7.34	份	https://query.1234567.com.cn/Query/Detail?id=201808061030300441919960&businType=143&traceNo=
2018-08-06	华安汇财通货币	000709	红利再投资	-	-	7.53	份	https://query.1234567.com.cn/Query/Detail?id=20180806041303471528880&businType=143&traceNo=
2018-08-03	汇添富和聚宝货币	000600	红利再投资	-	-	2.50	份	https://query.1234567.com.cn/Query/Detail?id=201808034730300290825780&businType=143&traceNo=
2018-08-03	华夏现金增利货币A/E	003003	红利再投资	-	-	2.60	份	https://query.1234567.com.cn/Query/Detail?id=20180803033032018080353499108&businType=143&traceNo=
2018-08-03	招商招钱宝货币A	000588	红利再投资	-	-	2.64	份	https://query.1234567.com.cn/Query/Detail?id=201808031720180803400001304878&businType=143&traceNo=
2018-08-03	富国富钱包货币	000638	红利再投资	-	-	2.30	份	https://query.1234567.com.cn/Query/Detail?id=201808031030300440295210&businType=143&traceNo=
2018-08-03	华安汇财通货币	000709	红利再投资	-	-	2.60	份	https://query.1234567.com.cn/Query/Detail?id=20180803041303469489650&businType=143&traceNo=
2018-08-02	汇添富和聚宝货币	000600	红利再投资	-	-	2.76	份	https://query.1234567.com.cn/Query/Detail?id=201808024730300290259610&businType=143&traceNo=
2018-08-02	华夏现金增利货币A/E	003003	红利再投资	-	-	2.34	份	https://query.1234567.com.cn/Query/Detail?id=20180802033032018080252438314&businType=143&traceNo=
2018-08-02	招商招钱宝货币A	000588	红利再投资	-	-	2.66	份	https://query.1234567.com.cn/Query/Detail?id=201808021720180802400001311662&businType=143&traceNo=
2018-08-02	华安汇财通货币	000709	红利再投资	-	-	2.47	份	https://query.1234567.com.cn/Query/Detail?id=20180802041303468233837&businType=143&traceNo=
2018-08-02	富国富钱包货币	000638	红利再投资	-	-	2.29	份	https://query.1234567.com.cn/Query/Detail?id=201808021030300438550240&businType=143&traceNo=
2018-08-01	汇添富和聚宝货币	000600	红利再投资	-	-	2.76	份	https://query.1234567.com.cn/Query/Detail?id=201808014730300289709390&businType=143&traceNo=
2018-08-01	华夏现金增利货币A/E	003003	红利再投资	-	-	2.35	份	https://query.1234567.com.cn/Query/Detail?id=20180801033032018080151328171&businType=143&traceNo=
2018-08-01	博时现金宝货币Ｂ	000891	活期宝充值	10000.00	元	10000.00	份	https://query.1234567.com.cn/Query/Detail?id=5954d81dd1e446ea8ef0bf45b438b180&businType=801&traceNo=
2018-08-01	活期宝	------	活期宝快速取现	12800.00	份	12800.00	元	https://query.1234567.com.cn/Query/Detail?id=3c9dbbd4f2314726b91491a977617bc7&businType=803&traceNo=
2018-08-01	汇添富和聚宝货币	000600	活期宝普通取现	2400.00	份	2400.00	元	https://query.1234567.com.cn/Query/Detail?id=40f9fb931d5e4a0d81b88d2a17a7e359&businType=802&traceNo=
2018-08-01	招商招钱宝货币A	000588	红利再投资	-	-	2.68	份	https://query.1234567.com.cn/Query/Detail?id=201808011720180801400001913961&businType=143&traceNo=
2018-08-01	富国富钱包货币	000638	红利再投资	-	-	2.57	份	https://query.1234567.com.cn/Query/Detail?id=201808011030300436857290&businType=143&traceNo=
2018-08-01	华安汇财通货币	000709	红利再投资	-	-	2.84	份	https://query.1234567.com.cn/Query/Detail?id=20180801041303467035521&businType=143&traceNo=
2018-08-01	博时现金宝货币Ｂ	000891	红利再投资	-	-	91.55	份	https://query.1234567.com.cn/Query/Detail?id=201808010520180801000484265047&businType=143&traceNo=
2018-09-28	广发养老指数A	000968	活期宝转入	6400.00	元	7014.52	份	https://query.1234567.com.cn/Query/Detail?id=496d147c8ddf41cb9677982463ec2a69&businType=22&traceNo=496d147c8ddf41cb9677982463ec2a69
2018-09-28	广发中证全指金融地产联接A	001469	活期宝转入	6400.00	元	6872.00	份	https://query.1234567.com.cn/Query/Detail?id=e72842fb00b64d258a4cf1e9281c8ee9&businType=22&traceNo=e72842fb00b64d258a4cf1e9281c8ee9
2018-09-28	富国沪深300指数增强	100038	活期宝转入	6400.00	元	3731.66	份	https://query.1234567.com.cn/Query/Detail?id=2067ff62d9e446dab57a0c2f0813790f&businType=22&traceNo=2067ff62d9e446dab57a0c2f0813790f
2018-09-28	兴全可转债混合	340001	活期宝转入	6400.00	元	6329.68	份	https://query.1234567.com.cn/Query/Detail?id=251752d3426e474fbd440fadbbbbfbfb&businType=22&traceNo=251752d3426e474fbd440fadbbbbfbfb
2018-09-28	鹏华添利宝货币	001666	红利再投资	-	-	13.27	份	https://query.1234567.com.cn/Query/Detail?id=201809280630301108733810&businType=143&traceNo=
2018-09-28	南方天天利货币Ｂ	003474	红利再投资	-	-	14.15	份	https://query.1234567.com.cn/Query/Detail?id=201809280130300937672230&businType=143&traceNo=
2018-09-27	鹏华添利宝货币	001666	红利再投资	-	-	13.48	份	https://query.1234567.com.cn/Query/Detail?id=201809270630301105258290&businType=143&traceNo=
2018-09-27	南方天天利货币Ｂ	003474	红利再投资	-	-	14.07	份	https://query.1234567.com.cn/Query/Detail?id=201809270130300935426240&businType=143&traceNo=
2018-09-26	鹏华添利宝货币	001666	红利再投资	-	-	14.05	份	https://query.1234567.com.cn/Query/Detail?id=201809260630301101910460&businType=143&traceNo=
2018-09-26	南方天天利货币Ｂ	003474	红利再投资	-	-	13.84	份	https://query.1234567.com.cn/Query/Detail?id=201809260130300933106390&businType=143&traceNo=
2018-09-25	南方天天利货币Ｂ	003474	红利再投资	-	-	55.77	份	https://query.1234567.com.cn/Query/Detail?id=201809250130300930535240&businType=143&traceNo=
2018-09-25	鹏华添利宝货币	001666	红利再投资	-	-	55.14	份	https://query.1234567.com.cn/Query/Detail?id=201809250630301098259490&businType=143&traceNo=
2018-09-21	鹏华添利宝货币	001666	活期宝普通取现	3000.00	份	3000.00	元	https://query.1234567.com.cn/Query/Detail?id=f3c271a233424ff0a561dd62cdf47c7f&businType=802&traceNo=
2018-09-21	鹏华添利宝货币	001666	红利再投资	-	-	16.47	份	https://query.1234567.com.cn/Query/Detail?id=201809210630301094865870&businType=143&traceNo=
2018-09-21	南方天天利货币Ｂ	003474	红利再投资	-	-	13.92	份	https://query.1234567.com.cn/Query/Detail?id=201809210130300928316820&businType=143&traceNo=
2018-09-20	鹏华添利宝货币	001666	红利再投资	-	-	13.81	份	https://query.1234567.com.cn/Query/Detail?id=201809200630301091579910&businType=143&traceNo=
2018-09-20	南方天天利货币Ｂ	003474	红利再投资	-	-	15.57	份	https://query.1234567.com.cn/Query/Detail?id=201809200130300926087370&businType=143&traceNo=
2018-09-19	鹏华添利宝货币	001666	红利再投资	-	-	14.12	份	https://query.1234567.com.cn/Query/Detail?id=201809190630301088415240&businType=143&traceNo=
2018-09-19	南方天天利货币Ｂ	003474	红利再投资	-	-	14.49	份	https://query.1234567.com.cn/Query/Detail?id=201809190130300923738530&businType=143&traceNo=
2018-09-18	南方天天利货币Ｂ	003474	红利再投资	-	-	14.64	份	https://query.1234567.com.cn/Query/Detail?id=201809180130300921428620&businType=143&traceNo=
2018-09-18	鹏华添利宝货币	001666	红利再投资	-	-	14.28	份	https://query.1234567.com.cn/Query/Detail?id=201809180630301085264240&businType=143&traceNo=
2018-09-17	鹏华添利宝货币	001666	红利再投资	-	-	42.62	份	https://query.1234567.com.cn/Query/Detail?id=201809170630301081791820&businType=143&traceNo=
2018-09-17	南方天天利货币Ｂ	003474	红利再投资	-	-	44.27	份	https://query.1234567.com.cn/Query/Detail?id=201809170130300918421200&businType=143&traceNo=
2018-09-14	鹏华添利宝货币	001666	活期宝快速取现	5000.00	份	5000.00	元	https://query.1234567.com.cn/Query/Detail?id=11521e485eae459192031e69fa254bd7&businType=803&traceNo=
2018-09-14	南方天天利货币Ｂ	003474	活期宝快速取现	5000.00	份	5000.00	元	https://query.1234567.com.cn/Query/Detail?id=8a0e914fc1fb487e9fea7f001e94c13b&businType=803&traceNo=
2018-09-14	鹏华添利宝货币	001666	红利再投资	-	-	14.89	份	https://query.1234567.com.cn/Query/Detail?id=201809140630301078535480&businType=143&traceNo=
2018-09-14	南方天天利货币Ｂ	003474	红利再投资	-	-	15.46	份	https://query.1234567.com.cn/Query/Detail?id=201809140130300916140290&businType=143&traceNo=
2018-09-13	鹏华添利宝货币	001666	红利再投资	-	-	14.48	份	https://query.1234567.com.cn/Query/Detail?id=201809130630301075337280&businType=143&traceNo=
2018-09-13	南方天天利货币Ｂ	003474	红利再投资	-	-	14.77	份	https://query.1234567.com.cn/Query/Detail?id=201809130130300913841160&businType=143&traceNo=
2018-09-12	鹏华添利宝货币	001666	红利再投资	-	-	15.15	份	https://query.1234567.com.cn/Query/Detail?id=201809120630301072115220&businType=143&traceNo=
2018-09-12	南方天天利货币Ｂ	003474	红利再投资	-	-	15.79	份	https://query.1234567.com.cn/Query/Detail?id=201809120130300911515190&businType=143&traceNo=
2018-09-12	南方天天利货币Ｂ	003474	活期宝充值	3900.00	元	3900.00	份	https://query.1234567.com.cn/Query/Detail?id=a880ce0b95c841bbb0eefb4f3c2f93f4&businType=801&traceNo=
2018-09-12	鹏华添利宝货币	001666	活期宝充值	7100.00	元	7100.00	份	https://query.1234567.com.cn/Query/Detail?id=10f6684fdf4c4755a1499a8c95b4285a&businType=801&traceNo=
2018-09-11	鹏华添利宝货币	001666	红利再投资	-	-	15.32	份	https://query.1234567.com.cn/Query/Detail?id=201809110630301068925090&businType=143&traceNo=
2018-09-11	南方天天利货币Ｂ	003474	红利再投资	-	-	15.42	份	https://query.1234567.com.cn/Query/Detail?id=201809110130300909195880&businType=143&traceNo=
2018-09-11	鹏华添利宝货币	001666	活期宝快速取现	3210.00	份	3210.00	元	https://query.1234567.com.cn/Query/Detail?id=67088cf021af47ac9b6f5f5d37f3b75b&businType=803&traceNo=
2018-09-10	南方天天利货币Ｂ	003474	红利再投资	-	-	46.29	份	https://query.1234567.com.cn/Query/Detail?id=201809100130300906614720&businType=143&traceNo=
2018-09-10	鹏华添利宝货币	001666	红利再投资	-	-	46.35	份	https://query.1234567.com.cn/Query/Detail?id=201809100630301062977590&businType=143&traceNo=
2018-09-07	鹏华添利宝货币	001666	红利再投资	-	-	16.44	份	https://query.1234567.com.cn/Query/Detail?id=201809070630301059844510&businType=143&traceNo=
2018-09-07	南方天天利货币Ｂ	003474	红利再投资	-	-	15.84	份	https://query.1234567.com.cn/Query/Detail?id=201809070130300904356610&businType=143&traceNo=
2018-09-06	鹏华添利宝货币	001666	红利再投资	-	-	7.53	份	https://query.1234567.com.cn/Query/Detail?id=201809060630301056678460&businType=143&traceNo=
2018-09-06	南方天天利货币Ｂ	003474	红利再投资	-	-	6.28	份	https://query.1234567.com.cn/Query/Detail?id=201809060130300901957550&businType=143&traceNo=
2018-09-06	博时现金宝货币Ｂ	000891	活期宝普通取现	0.05	份	0.05	元	https://query.1234567.com.cn/Query/Detail?id=73bd0e3e73854f9589235c8c16897133&businType=802&traceNo=
2018-09-05	鹏华添利宝货币	001666	红利再投资	-	-	7.50	份	https://query.1234567.com.cn/Query/Detail?id=201809050630301053595650&businType=143&traceNo=
2018-09-05	南方天天利货币Ｂ	003474	红利再投资	-	-	6.31	份	https://query.1234567.com.cn/Query/Detail?id=201809050130300899648340&businType=143&traceNo=
2018-09-05	鹏华添利宝货币	001666	活期宝充值	78772.46	元	78772.46	份	https://query.1234567.com.cn/Query/Detail?id=13c7077853554c3d9b4fbf9dedfbd00b&businType=801&traceNo=
2018-09-05	南方天天利货币Ｂ	003474	活期宝充值	89557.08	元	89557.08	份	https://query.1234567.com.cn/Query/Detail?id=5c58f39f688940adae4c6870241dd796&businType=801&traceNo=
2018-09-04	鹏华添利宝货币	001666	红利再投资	-	-	7.52	份	https://query.1234567.com.cn/Query/Detail?id=201809040630301050582140&businType=143&traceNo=
2018-09-04	南方天天利货币Ｂ	003474	红利再投资	-	-	6.36	份	https://query.1234567.com.cn/Query/Detail?id=201809040130300897394870&businType=143&traceNo=
2018-09-03	鹏华添利宝货币	001666	活期宝快速取现	10000.00	份	10000.00	元	https://query.1234567.com.cn/Query/Detail?id=92eb3492a4304b38873c56465f1b66af&businType=803&traceNo=
2018-09-03	鹏华添利宝货币	001666	红利再投资	-	-	24.92	份	https://query.1234567.com.cn/Query/Detail?id=201809030630301047178220&businType=143&traceNo=
2018-09-03	南方天天利货币Ｂ	003474	红利再投资	-	-	19.07	份	https://query.1234567.com.cn/Query/Detail?id=201809030130300894846100&businType=143&traceNo=
2018-11-01	南方天天利货币Ｂ	003474	红利再投资	-	-	13.70	份	https://query.1234567.com.cn/Query/Detail?id=201811010130300982869670&businType=143&traceNo=
2018-11-01	鹏华添利宝货币	001666	红利再投资	-	-	4.93	份	https://query.1234567.com.cn/Query/Detail?id=201811010630301170425070&businType=143&traceNo=
2018-10-31	鹏华添利宝货币	001666	红利再投资	-	-	11.40	份	https://query.1234567.com.cn/Query/Detail?id=201810310630301167409350&businType=143&traceNo=
2018-10-31	南方天天利货币Ｂ	003474	红利再投资	-	-	10.97	份	https://query.1234567.com.cn/Query/Detail?id=201810310130300980662160&businType=143&traceNo=
2018-10-30	鹏华添利宝货币	001666	活期宝快速取现	5000.00	份	5000.00	元	https://query.1234567.com.cn/Query/Detail?id=dd530973f8cf43118310576bf9bf8bdb&businType=803&traceNo=
2018-10-30	南方天天利货币Ｂ	003474	活期宝互转	70000.00	份	70000.00	份	https://query.1234567.com.cn/Query/Detail?id=a1ab2374a6f54523be9d09398cd8be02&businType=804&traceNo=
2018-10-30	富国中证500指数(LOF)	161017	活期宝转入	6400.00	元	3906.12	份	https://query.1234567.com.cn/Query/Detail?id=b0967abab4a0458e961287ce82ffa89e&businType=22&traceNo=b0967abab4a0458e961287ce82ffa89e
2018-10-30	易方达创业板ETF联接A	110026	活期宝转入	6400.00	元	4791.13	份	https://query.1234567.com.cn/Query/Detail?id=ae2c6d3f40b04af290ff6eabb0350e8f&businType=22&traceNo=ae2c6d3f40b04af290ff6eabb0350e8f
2018-10-30	兴全可转债混合	340001	活期宝转入	6400.00	元	6518.77	份	https://query.1234567.com.cn/Query/Detail?id=64644d97fa514b54aeff5334e940aae0&businType=22&traceNo=64644d97fa514b54aeff5334e940aae0
2018-10-30	易方达消费行业股票	110022	活期宝转入	6400.00	元	3730.54	份	https://query.1234567.com.cn/Query/Detail?id=815a08232618444cb949b976dd7fc42e&businType=22&traceNo=815a08232618444cb949b976dd7fc42e
2018-10-30	广发养老指数A	000968	活期宝转入	6400.00	元	7953.63	份	https://query.1234567.com.cn/Query/Detail?id=5c4fa68e1ffb44ff8b99aa47ad5496db&businType=22&traceNo=5c4fa68e1ffb44ff8b99aa47ad5496db
2018-10-30	富国沪深300指数增强	100038	活期宝转入	6400.00	元	4084.56	份	https://query.1234567.com.cn/Query/Detail?id=f3f77d8c5c6a48e9aa3d35e6619afe74&businType=22&traceNo=f3f77d8c5c6a48e9aa3d35e6619afe74
2018-10-30	富国中证红利指数增强	100032	活期宝转入	6400.00	元	6670.57	份	https://query.1234567.com.cn/Query/Detail?id=434053ca8ac84bed9a7e2a2354f974b2&businType=22&traceNo=434053ca8ac84bed9a7e2a2354f974b2
2018-10-30	华夏收益债券(QDII)A	001061	卖出回银行卡	5451.73	份	6852.82	元	https://query.1234567.com.cn/Query/Detail?id=4a6f97b5f16f43468e9c39d19e8bd703&businType=24&traceNo=
2018-10-30	鹏华添利宝货币	001666	红利再投资	-	-	11.85	份	https://query.1234567.com.cn/Query/Detail?id=201810300630301164409480&businType=143&traceNo=
2018-10-30	南方天天利货币Ｂ	003474	红利再投资	-	-	10.96	份	https://query.1234567.com.cn/Query/Detail?id=201810300130300978435220&businType=143&traceNo=
2018-10-29	鹏华添利宝货币	001666	红利再投资	-	-	36.19	份	https://query.1234567.com.cn/Query/Detail?id=201810290630301161193230&businType=143&traceNo=
2018-10-29	南方天天利货币Ｂ	003474	红利再投资	-	-	32.74	份	https://query.1234567.com.cn/Query/Detail?id=201810290130300976023040&businType=143&traceNo=
2018-10-26	南方天天利货币Ｂ	003474	红利再投资	-	-	11.60	份	https://query.1234567.com.cn/Query/Detail?id=201810260130300973812640&businType=143&traceNo=
2018-10-26	鹏华添利宝货币	001666	红利再投资	-	-	12.73	份	https://query.1234567.com.cn/Query/Detail?id=201810260630301158159340&businType=143&traceNo=
2018-10-25	鹏华添利宝货币	001666	红利再投资	-	-	13.12	份	https://query.1234567.com.cn/Query/Detail?id=201810250630301155156560&businType=143&traceNo=
2018-10-25	南方天天利货币Ｂ	003474	红利再投资	-	-	10.89	份	https://query.1234567.com.cn/Query/Detail?id=201810250130300971521920&businType=143&traceNo=
2018-10-24	鹏华添利宝货币	001666	红利再投资	-	-	11.52	份	https://query.1234567.com.cn/Query/Detail?id=201810240630301152191010&businType=143&traceNo=
2018-10-24	南方天天利货币Ｂ	003474	红利再投资	-	-	10.86	份	https://query.1234567.com.cn/Query/Detail?id=201810240130300969260100&businType=143&traceNo=
2018-10-23	南方天天利货币Ｂ	003474	红利再投资	-	-	10.79	份	https://query.1234567.com.cn/Query/Detail?id=201810230130300966988660&businType=143&traceNo=
2018-10-23	鹏华添利宝货币	001666	红利再投资	-	-	11.50	份	https://query.1234567.com.cn/Query/Detail?id=201810230630301149207910&businType=143&traceNo=
2018-10-22	鹏华添利宝货币	001666	红利再投资	-	-	34.13	份	https://query.1234567.com.cn/Query/Detail?id=201810220630301146003130&businType=143&traceNo=
2018-10-22	南方天天利货币Ｂ	003474	红利再投资	-	-	33.15	份	https://query.1234567.com.cn/Query/Detail?id=201810220130300964554040&businType=143&traceNo=
2018-10-19	鹏华添利宝货币	001666	红利再投资	-	-	11.61	份	https://query.1234567.com.cn/Query/Detail?id=201810190630301142951170&businType=143&traceNo=
