	bonus_amount_rmb	report_date	code
720	13668.3749	2016-12-31	600157.XSHG
721		2017-06-30	600157.XSHG
722		2017-12-31	600157.XSHG
723		2018-06-30	600157.XSHG
724		2016-06-30	600170.XSHG
725	97274.9332	2016-12-31	600170.XSHG
726		2017-06-30	600170.XSHG
727	120209.3693	2017-12-31	600170.XSHG
728		2018-06-30	600170.XSHG
729		2016-06-30	600176.XSHG
730	60803.9384	2016-12-31	600176.XSHG
731		2017-06-30	600176.XSHG
732	72964.726	2017-12-31	600176.XSHG
733		2018-06-30	600176.XSHG
734		2016-06-30	600177.XSHG
735	127908.8341	2016-12-31	600177.XSHG
736		2017-06-30	600177.XSHG
737	143257.8941	2017-12-31	600177.XSHG
738		2018-06-30	600177.XSHG
739		2016-06-30	600188.XSHG
740	58944.192	2016-12-31	600188.XSHG
741		2017-06-30	600188.XSHG
742	235776.768	2017-12-31	600188.XSHG
743		2018-06-30	600188.XSHG
744		2016-06-30	600196.XSHG
745	87329.5866	2016-12-31	600196.XSHG
746		2017-06-30	600196.XSHG
747	97396.314	2017-12-31	600196.XSHG
748		2018-06-30	600196.XSHG
749		2016-06-30	600208.XSHG
750		2016-12-31	600208.XSHG
751		2017-06-30	600208.XSHG
752	49016.2582	2017-12-31	600208.XSHG
753		2018-06-30	600208.XSHG
754		2016-06-30	600219.XSHG
755	46255.5145	2016-12-31	600219.XSHG
756		2017-06-30	600219.XSHG
757	55506.6174	2017-12-31	600219.XSHG
758		2018-06-30	600219.XSHG
759		2016-06-30	600221.XSHG
760	86383.4585	2016-12-31	600221.XSHG
761		2017-06-30	600221.XSHG
762	30251.0166	2017-12-31	600221.XSHG
763		2018-06-30	600221.XSHG
764		2016-06-30	600233.XSHG
765	42318.4443	2016-12-31	600233.XSHG
766		2017-06-30	600233.XSHG
767	31138.4834	2017-12-31	600233.XSHG
768		2018-06-30	600233.XSHG
769		2016-06-30	600271.XSHG
770	46571.294	2016-12-31	600271.XSHG
771		2017-06-30	600271.XSHG
772	78225.6237	2017-12-31	600271.XSHG
773		2018-06-30	600271.XSHG
774		2016-06-30	600276.XSHG
775	31690.7056	2016-12-31	600276.XSHG
776		2017-06-30	600276.XSHG
777	36824.4245	2017-12-31	600276.XSHG
778		2018-06-30	600276.XSHG
779		2016-06-30	600297.XSHG
780	110008.0136	2016-12-31	600297.XSHG
781		2017-06-30	600297.XSHG
782	122164.6452	2017-12-31	600297.XSHG
783		2018-06-30	600297.XSHG
784		2016-06-30	600309.XSHG
785	113917.2	2016-12-31	600309.XSHG
786		2017-06-30	600309.XSHG
787	410101.92	2017-09-30	600309.XSHG
788		2017-12-31	600309.XSHG
789		2018-06-30	600309.XSHG
790		2016-06-30	600332.XSHG
791	48773.7285	2016-08-30	600332.XSHG
792	45522.1466	2016-12-31	600332.XSHG
793		2017-06-30	600332.XSHG
794	61942.6352	2017-12-31	600332.XSHG
795		2018-06-30	600332.XSHG
796		2016-06-30	600339.XSHG
797		2016-12-31	600339.XSHG
798		2017-06-30	600339.XSHG
799	20657.6456	2017-12-31	600339.XSHG
800		2018-06-30	600339.XSHG
801		2016-06-30	600340.XSHG
802	195026.4828	2016-12-31	600340.XSHG
803		2017-06-30	600340.XSHG
804	265945.2038	2017-12-31	600340.XSHG
805		2018-06-30	600340.XSHG
806		2016-06-30	600346.XSHG
807	42385.3041	2016-12-31	600346.XSHG
808		2017-06-30	600346.XSHG
809		2017-12-31	600346.XSHG
810	126319.7481	2018-06-30	600346.XSHG
811		2016-06-30	600352.XSHG
812	65066.6372	2016-12-31	600352.XSHG
813		2017-06-30	600352.XSHG
814	81333.2965	2017-12-31	600352.XSHG
815		2018-06-30	600352.XSHG
816		2016-06-30	600362.XSHG
817	51940.9411	2016-12-31	600362.XSHG
818		2017-06-30	600362.XSHG
819	69254.5881	2017-12-31	600362.XSHG
820		2018-06-30	600362.XSHG
821		2016-06-30	600369.XSHG
822	56451.0912	2016-12-31	600369.XSHG
823		2017-06-30	600369.XSHG
824	28225.5456	2017-12-31	600369.XSHG
825		2018-06-30	600369.XSHG
826		2016-06-30	600372.XSHG
827	8795.8147	2016-12-31	600372.XSHG
828		2017-06-30	600372.XSHG
829	10554.9776	2017-12-31	600372.XSHG
830		2018-06-30	600372.XSHG
831		2016-06-30	600373.XSHG
832	16535.2803	2016-12-31	600373.XSHG
833		2017-06-30	600373.XSHG
834	55117.601	2017-12-31	600373.XSHG
835		2018-06-30	600373.XSHG
836	64489.1311	2016-06-30	600376.XSHG
837	90284.7835	2016-12-31	600376.XSHG
838		2017-06-30	600376.XSHG
839	154773.9145	2017-12-31	600376.XSHG
840		2018-06-30	600376.XSHG
841		2016-06-30	600383.XSHG
842	315954.224	2016-12-31	600383.XSHG
843		2017-06-30	600383.XSHG
844	239272.9293	2017-12-31	600383.XSHG
845		2018-06-30	600383.XSHG
846		2016-06-30	600390.XSHG
847		2016-12-31	600390.XSHG
848		2017-06-30	600390.XSHG
849		2017-12-31	600390.XSHG
850		2018-06-30	600390.XSHG
851		2016-06-30	600398.XSHG
852	220145.1383	2016-12-31	600398.XSHG
853		2017-06-30	600398.XSHG
854	215652.3804	2017-12-31	600398.XSHG
855		2018-06-30	600398.XSHG
856		2016-06-30	600406.XSHG
857	72868.6005	2016-12-31	600406.XSHG
858		2017-06-30	600406.XSHG
859	165011.9085	2017-12-31	600406.XSHG
860		2018-06-30	600406.XSHG
861		2016-06-30	600415.XSHG
862	32659.2851	2016-12-31	600415.XSHG
863		2017-06-30	600415.XSHG
864	44090.0348	2017-12-31	600415.XSHG
865		2018-06-30	600415.XSHG
866		2016-06-30	600436.XSHG
867	16289.5647	2016-12-31	600436.XSHG
868		2017-06-30	600436.XSHG
869	25942.64	2017-12-31	600436.XSHG
870		2018-06-30	600436.XSHG
871		2016-06-30	600438.XSHG
872	31058.9778	2016-12-31	600438.XSHG
873		2017-06-30	600438.XSHG
874	62117.9555	2017-12-31	600438.XSHG
875		2018-06-30	600438.XSHG
876		2016-06-30	600482.XSHG
877	38262.1992	2016-12-31	600482.XSHG
878		2017-06-30	600482.XSHG
879	36068.6741	2017-12-31	600482.XSHG
880		2018-06-30	600482.XSHG
881		2016-06-30	600487.XSHG
882	13653.9597	2016-12-31	600487.XSHG
883		2017-06-30	600487.XSHG
884	21756.4094	2017-12-31	600487.XSHG
885		2018-06-30	600487.XSHG
886		2016-06-30	600489.XSHG
887	12078.9802	2016-12-31	600489.XSHG
888		2017-06-30	600489.XSHG
889	10353.4116	2017-12-31	600489.XSHG
890		2018-06-30	600489.XSHG
891		2016-06-30	600498.XSHG
892	35573.2808	2016-12-31	600498.XSHG
893		2017-06-30	600498.XSHG
894	37873.9251	2017-12-31	600498.XSHG
895		2018-06-30	600498.XSHG
896		2016-06-30	600516.XSHG
897	3782.1528	2016-12-31	600516.XSHG
898		2017-06-30	600516.XSHG
899	339870.9318	2017-12-31	600516.XSHG
900		2018-06-30	600516.XSHG
901		2016-06-30	600518.XSHG
902	101408.2453	2016-12-31	600518.XSHG
903		2017-06-30	600518.XSHG
904	116885.7494	2017-12-31	600518.XSHG
905		2018-06-30	600518.XSHG
906		2016-06-30	600519.XSHG
907	852581.4469	2016-12-31	600519.XSHG
908		2017-06-30	600519.XSHG
909	1381691.9602	2017-12-31	600519.XSHG
910		2018-06-30	600519.XSHG
911		2016-06-30	600522.XSHG
912	30660.7252	2016-12-31	600522.XSHG
913		2017-06-30	600522.XSHG
914	30660.7252	2017-12-31	600522.XSHG
915		2018-06-30	600522.XSHG
916		2016-06-30	600535.XSHG
917	60506.6492	2016-12-31	600535.XSHG
918		2017-06-30	600535.XSHG
919	43219.0351	2017-12-31	600535.XSHG
920		2018-06-30	600535.XSHG
921		2016-06-30	600547.XSHG
922	18571.1881	2016-12-31	600547.XSHG
923		2017-06-30	600547.XSHG
924	14856.9505	2017-09-30	600547.XSHG
925	7428.4752	2017-12-31	600547.XSHG
926		2018-06-30	600547.XSHG
927		2016-06-30	600549.XSHG
928	21631.48	2016-12-31	600549.XSHG
929		2017-06-30	600549.XSHG
930	21743.174	2017-12-31	600549.XSHG
931		2018-06-30	600549.XSHG
932		2016-06-30	600570.XSHG
933	6178.0518	2016-12-31	600570.XSHG
934		2017-06-30	600570.XSHG
935	17916.3502	2017-12-31	600570.XSHG
936		2018-06-30	600570.XSHG
937		2016-06-30	600583.XSHG
938	44213.548	2016-12-31	600583.XSHG
939		2017-06-30	600583.XSHG
940	22106.774	2017-12-31	600583.XSHG
941		2018-06-30	600583.XSHG
942		2016-06-30	600585.XSHG
943	264965.129	2016-12-31	600585.XSHG
944		2017-06-30	600585.XSHG
945	635916.3095	2017-12-31	600585.XSHG
946		2018-06-30	600585.XSHG
947		2016-06-30	600588.XSHG
948	19034.8315	2016-12-31	600588.XSHG
949		2017-06-30	600588.XSHG
950	21918.3934	2017-12-31	600588.XSHG
951		2018-06-30	600588.XSHG
952		2016-06-30	600606.XSHG
953	304203.8596	2016-12-31	600606.XSHG
954		2017-06-30	600606.XSHG
955	304203.8596	2017-12-31	600606.XSHG
956		2018-06-30	600606.XSHG
957	92443.8311	2017-12-31	600637.XSHG
958		2016-06-30	600637.XSHG
959	89818.9973	2016-12-31	600637.XSHG
960		2017-06-30	600637.XSHG
961		2018-06-30	600637.XSHG
962	188146.3149	2016-12-31	600660.XSHG
963	188146.3149	2017-12-31	600660.XSHG
964		2016-06-30	600660.XSHG
965		2017-06-30	600660.XSHG
966	80119.4533	2018-06-30	600660.XSHG
967	156661.3339	2017-12-31	600663.XSHG
968		2016-06-30	600663.XSHG
969	132456.1493	2016-12-31	600663.XSHG
970		2017-06-30	600663.XSHG
971		2018-06-30	600663.XSHG
972	121058.8632	2017-12-31	600674.XSHG
973		2016-06-30	600674.XSHG
974	132064.2144	2016-12-31	600674.XSHG
975		2017-06-30	600674.XSHG
976		2018-06-30	600674.XSHG
977	10007.7702	2017-12-31	600682.XSHG
978		2016-06-30	600682.XSHG
979	9911.7922	2016-12-31	600682.XSHG
980		2017-06-30	600682.XSHG
981		2018-06-30	600682.XSHG
982	324714.405	2017-12-31	600688.XSHG
983		2016-06-30	600688.XSHG
984	270000.0	2016-12-31	600688.XSHG
985		2017-06-30	600688.XSHG
986		2018-06-30	600688.XSHG
987	208531.1733	2017-12-31	600690.XSHG
988		2016-06-30	600690.XSHG
989	151215.5876	2016-12-31	600690.XSHG
990		2017-06-30	600690.XSHG
991		2018-06-30	600690.XSHG
992	101960.6232	2017-12-31	600703.XSHG
993		2016-06-30	600703.XSHG
994	81568.4986	2016-12-31	600703.XSHG
995		2017-06-30	600703.XSHG
996		2018-06-30	600703.XSHG
997	86133.6483	2017-12-31	600704.XSHG
998		2016-06-30	600704.XSHG
999	143556.0806	2016-12-31	600704.XSHG
1000		2017-06-30	600704.XSHG
1001		2018-06-30	600704.XSHG
1002	49369.7917	2017-12-31	600705.XSHG
1003		2016-06-30	600705.XSHG
1004	60141.3826	2016-12-31	600705.XSHG
1005	13464.4886	2017-06-30	600705.XSHG
1006		2018-06-30	600705.XSHG
1007	27534.7767	2017-12-31	600739.XSHG
1008		2016-06-30	600739.XSHG
1009		2016-12-31	600739.XSHG
1010		2017-06-30	600739.XSHG
1011		2018-06-30	600739.XSHG
1012	331036.0183	2017-12-31	600741.XSHG
1013		2016-06-30	600741.XSHG
1014	315272.3984	2016-12-31	600741.XSHG
1015		2017-06-30	600741.XSHG
1016		2018-06-30	600741.XSHG
1017	157203.1828	2017-12-31	600795.XSHG
1018		2016-06-30	600795.XSHG
1019	216154.3763	2016-12-31	600795.XSHG
1020		2017-06-30	600795.XSHG
1021		2018-06-30	600795.XSHG
1022	23635.5322	2017-12-31	600804.XSHG
1023		2016-06-30	600804.XSHG
1024	23630.2107	2016-12-31	600804.XSHG
1025		2017-06-30	600804.XSHG
1026		2018-06-30	600804.XSHG
1027	51950.896	2017-12-31	600809.XSHG
1028		2016-06-30	600809.XSHG
1029	47621.6546	2016-12-31	600809.XSHG
1030		2017-06-30	600809.XSHG
1031		2018-06-30	600809.XSHG
1032		2016-06-30	600816.XSHG
1033	124298.5891	2016-12-31	600816.XSHG
1034		2017-06-30	600816.XSHG
1035	227880.7466	2017-12-31	600816.XSHG
1036		2018-06-30	600816.XSHG
1037	56593.7297	2017-12-31	600820.XSHG
1038		2016-06-30	600820.XSHG
1039	50305.5375	2016-12-31	600820.XSHG
1040		2017-06-30	600820.XSHG
1041		2018-06-30	600820.XSHG
1042	264539.1	2017-12-31	600837.XSHG
1043		2016-06-30	600837.XSHG
1044	253037.4	2016-12-31	600837.XSHG
1045		2017-06-30	600837.XSHG
1046		2018-06-30	600837.XSHG
1047	34225.9294	2017-12-31	600867.XSHG
1048		2016-06-30	600867.XSHG
1049	28438.6696	2016-12-31	600867.XSHG
1050		2017-06-30	600867.XSHG
1051		2018-06-30	600867.XSHG
1052	113123.0092	2017-12-31	600886.XSHG
1053		2016-06-30	600886.XSHG
1054	137077.6716	2016-12-31	600886.XSHG
1055		2017-06-30	600886.XSHG
1056		2018-06-30	600886.XSHG
1057	425494.4826	2017-12-31	600887.XSHG
1058		2016-06-30	600887.XSHG
1059	364740.0065	2016-12-31	600887.XSHG
1060		2017-06-30	600887.XSHG
1061		2018-06-30	600887.XSHG
1062	29022.9934	2017-12-31	600893.XSHG
1063		2016-06-30	600893.XSHG
1064	26892.3188	2016-12-31	600893.XSHG
1065		2017-06-30	600893.XSHG
1066		2018-06-30	600893.XSHG
1067	1496000.0	2017-12-31	600900.XSHG
1068		2016-06-30	600900.XSHG
1069	1568750.0	2016-12-31	600900.XSHG
1070		2017-06-30	600900.XSHG
1071		2018-06-30	600900.XSHG
1072	21726.0	2017-12-31	600909.XSHG
1073	21726.0	2016-12-31	600909.XSHG
1074		2017-06-30	600909.XSHG
1075		2018-06-30	600909.XSHG
1076	205491.21	2016-12-31	600919.XSHG
1077		2017-06-30	600919.XSHG
1078	207800.1	2017-12-31	600919.XSHG
1079		2018-06-30	600919.XSHG
1080	78523.476	2016-12-31	600926.XSHG
1081		2017-06-30	600926.XSHG
1082	109932.8664	2017-12-31	600926.XSHG
1083		2018-06-30	600926.XSHG
1084	119331.5161	2017-12-31	600958.XSHG
1085		2016-06-30	600958.XSHG
1086	77825.5802	2016-12-31	600958.XSHG
1087		2017-06-30	600958.XSHG
1088		2018-06-30	600958.XSHG
1089		2016-06-30	600959.XSHG
1090	38845.298	2016-12-31	600959.XSHG
1091		2017-06-30	600959.XSHG
1092		2017-12-31	600959.XSHG
1093		2018-06-30	600959.XSHG
1094		2016-06-30	600977.XSHG
1095	39767.1	2016-12-31	600977.XSHG
1096		2017-06-30	600977.XSHG
1097	60864.2	2017-12-31	600977.XSHG
1098		2018-06-30	600977.XSHG
1099	231799.5628	2017-12-31	600999.XSHG
1100	89445.2871	2016-06-30	600999.XSHG
1101	108089.254	2016-12-31	600999.XSHG
1102		2017-06-30	600999.XSHG
1103		2018-06-30	600999.XSHG
1104		2016-06-30	601006.XSHG
1105	371669.7873	2016-12-31	601006.XSHG
1106		2017-06-30	601006.XSHG
1107	698739.2001	2017-12-31	601006.XSHG
1108		2018-06-30	601006.XSHG
1109		2016-06-30	601009.XSHG
1110	157526.7186	2016-12-31	601009.XSHG
1111		2017-06-30	601009.XSHG
1112	292636.1734	2017-12-31	601009.XSHG
1113		2018-06-30	601009.XSHG
1114		2016-06-30	601012.XSHG
1115	19958.9083	2016-12-31	601012.XSHG
1116		2017-06-30	601012.XSHG
1117	35892.9654	2017-12-31	601012.XSHG
1118		2018-06-30	601012.XSHG
1119		2016-06-30	601018.XSHG
1120	89575.3651	2016-12-31	601018.XSHG
1121		2017-06-30	601018.XSHG
1122	98796.3586	2017-12-31	601018.XSHG
1123		2018-06-30	601018.XSHG
1124		2016-06-30	601021.XSHG
1125	12809.28	2016-12-31	601021.XSHG
1126		2017-06-30	601021.XSHG
1127	17145.9872	2017-12-31	601021.XSHG
1128		2018-06-30	601021.XSHG
1129		2016-06-30	601088.XSHG
1130	914922.5409	2016-12-31	601088.XSHG
1131	4992294.7342	2017-03-18	601088.XSHG
1132		2017-06-30	601088.XSHG
1133	1809955.4614	2017-12-31	601088.XSHG
1134		2018-06-30	601088.XSHG
1135		2016-06-30	601099.XSHG
1136	20448.9491	2016-12-31	601099.XSHG
1137		2017-06-30	601099.XSHG
1138	6816.3164	2017-12-31	601099.XSHG
1139		2018-06-30	601099.XSHG
1140	64602.0	2017-12-31	601108.XSHG
1141		2018-06-30	601108.XSHG
1142		2016-06-30	601111.XSHG
1143	156446.7844	2016-12-31	601111.XSHG
1144		2017-06-30	601111.XSHG
1145	166991.8002	2017-12-31	601111.XSHG
1146		2018-06-30	601111.XSHG
1147		2016-06-30	601117.XSHG
1148	53276.4	2016-12-31	601117.XSHG
1149		2017-06-30	601117.XSHG
1150	46863.5	2017-12-31	601117.XSHG
1151		2018-06-30	601117.XSHG
1152		2016-06-30	601155.XSHG
1153	74546.4781	2016-12-31	601155.XSHG
1154		2017-06-30	601155.XSHG
1155	182848.1191	2017-12-31	601155.XSHG
1156		2018-06-30	601155.XSHG
1157		2016-06-30	601166.XSHG
1158	1267225.6358	2016-12-31	601166.XSHG
1159		2017-06-30	601166.XSHG
1160	1350322.3988	2017-12-31	601166.XSHG
1161		2018-06-30	601166.XSHG
1162		2016-06-30	601169.XSHG
1163	380166.8921	2016-12-31	601169.XSHG
1164		2017-06-30	601169.XSHG
1165	564517.6801	2017-12-31	601169.XSHG
1166		2018-06-30	601169.XSHG
1167		2016-06-30	601186.XSHG
1168	217272.664	2016-12-31	601186.XSHG
1169		2017-06-30	601186.XSHG
1170	244431.747	2017-12-31	601186.XSHG
1171		2018-06-30	601186.XSHG
1172		2016-06-30	601198.XSHG
1173	41369.4099	2016-12-31	601198.XSHG
1174		2017-06-30	601198.XSHG
1175	41369.4099	2017-12-31	601198.XSHG
1176		2018-06-30	601198.XSHG
1177	348557.609	2017-12-31	601211.XSHG
1178		2016-06-30	601211.XSHG
1179	297375.0	2016-12-31	601211.XSHG
1180		2017-06-30	601211.XSHG
1181		2018-06-30	601211.XSHG
1182	7670.2625	2016-12-31	601212.XSHG
1183		2017-06-30	601212.XSHG
1184	7670.2625	2017-12-31	601212.XSHG
1185		2018-06-30	601212.XSHG
1186		2016-06-30	601216.XSHG
1187	16876.0348	2016-12-31	601216.XSHG
1188		2017-06-30	601216.XSHG
1189	25314.0522	2017-12-31	601216.XSHG
1190	135008.2782	2018-06-30	601216.XSHG
1191		2016-06-30	601225.XSHG
1192	110000.0	2016-12-31	601225.XSHG
1193		2017-06-30	601225.XSHG
1194	418000.0	2017-12-31	601225.XSHG
1195		2018-06-30	601225.XSHG
1196	15024.6547	2016-12-31	601228.XSHG
1197		2017-06-30	601228.XSHG
1198	21056.812	2017-12-31	601228.XSHG
1199		2018-06-30	601228.XSHG
